Temp (°C): 9.61109 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 0 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -0.554861 | Solar Rad. (W/m²): 203.394 | Grav. Anomaly (mGal): 44.2424 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.60973 | Solar Rad. (W/m²): 203.394 | Grav. Anomaly (mGal): 44.2424 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.60973 | Solar Rad. (W/m²): 243.574 | Grav. Anomaly (mGal): 44.2424 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 13.78 | Solar Rad. (W/m²): 243.574 | Grav. Anomaly (mGal): 44.2424 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 13.78 | Solar Rad. (W/m²): 243.574 | Grav. Anomaly (mGal): 59.2488 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.8262 | Solar Rad. (W/m²): 243.574 | Grav. Anomaly (mGal): 59.2488 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.49668 | Solar Rad. (W/m²): 243.574 | Grav. Anomaly (mGal): 59.2488 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.49668 | Solar Rad. (W/m²): 243.574 | Grav. Anomaly (mGal): 56.8165 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.49668 | Solar Rad. (W/m²): 274.531 | Grav. Anomaly (mGal): 56.8165 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -6.16657 | Solar Rad. (W/m²): 274.531 | Grav. Anomaly (mGal): 56.8165 | ATCS Status: On | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 5.72192 | Solar Rad. (W/m²): 274.531 | Grav. Anomaly (mGal): 56.8165 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.72192 | Solar Rad. (W/m²): 274.531 | Grav. Anomaly (mGal): 46.3831 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.9482 | Solar Rad. (W/m²): 274.531 | Grav. Anomaly (mGal): 46.3831 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
